

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
027.240  001.194  000.293: require('luasnip.util.parser.ast_utils')
027.332  000.091  000.091: require('luasnip.nodes.functionNode')
027.502  000.169  000.169: require('luasnip.nodes.choiceNode')
027.642  000.139  000.139: require('luasnip.nodes.dynamicNode')
027.675  000.032  000.032: require('luasnip.util.functions')
027.679  001.780  000.156: require('luasnip.util.parser.ast_parser')
027.857  000.177  000.177: require('luasnip.util.parser.neovim_parser')
027.861  002.039  000.082: require('luasnip.util.parser')
027.864  002.135  000.095: require('luasnip.nodes.snippetProxy')
027.916  000.051  000.051: require('luasnip.nodes.multiSnippet')
029.183  019.779  003.037: require('myNvimConfig.plugins.cmp')
029.601  000.057  000.057: require('nvim-autopairs._log')
029.738  000.135  000.135: require('nvim-autopairs.utils')
030.128  000.165  000.165: require('nvim-autopairs.conds')
030.131  000.292  000.126: require('nvim-autopairs.rule')
030.133  000.394  000.103: require('nvim-autopairs.rules.basic')
030.150  000.927  000.341: require('nvim-autopairs')
030.383  000.162  000.162: require('nvim-autopairs.fastwrap')
032.402  000.115  000.115: require('vim.treesitter.language')
032.409  000.405  000.291: require('vim.treesitter.query')
032.539  000.128  000.128: require('vim.treesitter._range')
032.544  000.868  000.335: require('vim.treesitter.languagetree')
032.548  001.096  000.227: require('vim.treesitter')
032.963  002.060  000.964: require('nvim-treesitter.parsers')
033.129  000.163  000.163: require('nvim-treesitter.utils')
033.135  002.459  000.236: require('nvim-treesitter.ts_utils')
033.139  002.585  000.126: require('nvim-autopairs.ts-conds')
033.141  002.649  000.064: require('nvim-autopairs.rules.ts_basic')
033.365  000.223  000.223: require('vim.treesitter.highlighter')
033.958  000.114  000.114: require('nvim-autopairs.completion.handlers')
033.963  000.256  000.142: require('nvim-autopairs.completion.cmp')
033.969  004.784  000.566: require('myNvimConfig.plugins.autopairs')
034.211  000.025  000.025: require('bufferline.lazy')
034.390  000.171  000.171: require('bufferline.commands')
034.729  000.336  000.336: require('bufferline.config')
034.732  000.690  000.159: require('bufferline')
034.906  000.166  000.166: require('bufferline.utils')
035.142  000.235  000.235: require('vim.version')
036.669  000.404  000.404: require('bufferline.groups')
036.727  000.042  000.042: require('bufferline.constants')
036.828  000.098  000.098: require('bufferline.colors')
038.341  000.499  000.499: require('bufferline.highlights')
039.738  000.565  000.565: require('bufferline.hover')
040.310  000.462  000.462: require('bufferline.ui')
040.371  006.400  003.240: require('myNvimConfig.plugins.bufferline')
041.135  000.207  000.207: require('ibl.utils')
041.141  000.370  000.163: require('ibl.config')
041.357  000.078  000.078: require('ibl.indent')
041.361  000.218  000.140: require('ibl.hooks')
041.363  000.684  000.096: require('ibl.highlights')
041.424  000.061  000.061: require('ibl.autocmds')
041.502  000.077  000.077: require('ibl.inlay_hints')
041.587  000.084  000.084: require('ibl.virt_text')
041.878  000.222  000.222: require('ibl.scope_languages')
041.880  000.292  000.070: require('ibl.scope')
041.885  001.483  000.286: require('ibl')
043.524  000.168  000.168: require('vim.lsp.log')
044.035  000.509  000.509: require('vim.lsp.protocol')
045.141  000.259  000.259: require('vim.lsp._snippet')
045.263  000.119  000.119: require('vim.highlight')
045.274  001.236  000.857: require('vim.lsp.util')
045.289  002.285  000.371: require('vim.lsp.handlers')
045.621  000.331  000.331: require('vim.lsp.rpc')
045.810  000.187  000.187: require('vim.lsp.sync')
046.120  000.309  000.309: require('vim.lsp.semantic_tokens')
046.462  000.340  000.340: require('vim.lsp.buf')
046.635  000.171  000.171: require('vim.lsp.diagnostic')
046.833  000.197  000.197: require('vim.lsp.codelens')
046.887  004.994  001.174: require('vim.lsp')
046.986  006.613  000.137: require('myNvimConfig.plugins.indentation')
047.405  000.217  000.217: require('lsp-zero.server')
047.783  000.252  000.252: require('lspconfig.util')
048.061  000.093  000.093: require('cmp_nvim_lsp.source')
048.064  000.188  000.095: require('cmp_nvim_lsp')
048.435  000.082  000.082: require('lspconfig.async')
048.438  000.270  000.188: require('lspconfig.configs')
048.439  000.373  000.103: require('lspconfig')
048.519  001.489  000.458: require('lsp-zero')
048.588  000.067  000.067: require('lsp-zero.settings')
048.646  000.057  000.057: require('lsp-zero.preset')
048.703  000.053  000.053: require('lsp-zero.installer')
048.836  000.069  000.069: require('mason-core.path')
049.092  000.116  000.116: require('mason-core.functional')
049.256  000.065  000.065: require('mason-core.functional.data')
049.261  000.161  000.097: require('mason-core.functional.function')
049.332  000.059  000.059: require('mason-core.functional.relation')
049.399  000.062  000.062: require('mason-core.functional.logic')
049.419  000.582  000.183: require('mason-core.platform')
049.518  000.080  000.080: require('mason.settings')
049.520  000.816  000.085: require('mason')
049.855  000.155  000.155: require('mason-core.functional.list')
049.947  000.088  000.088: require('mason-core.functional.string')
049.963  000.433  000.190: require('mason.api.command')
050.094  000.127  000.127: require('mason-registry.sources')
050.385  000.153  000.153: require('mason-core.log')
050.431  000.045  000.045: require('mason-lspconfig.settings')
